"pig_ensembl_gene_id","pig_gene_name","pig_entrezgene_id","hsapiens_homolog_ensembl_gene","hsapiens_homolog_associated_gene_name","human_entrezgene_id","cow_ensembl_gene_id","cow_gene_name","cow_entrezgene_id"
"ENSSSCG00000016732","TBRG4",397641,"ENSG00000136270","TBRG4",9238,"ENSBTAG00000010504","TBRG4",767855
"ENSSSCG00000033190","AQP1",407773,"ENSG00000240583","AQP1",358,"ENSBTAG00000000745","AQP1",NA
"ENSSSCG00000016674","MINDY4",106507179,"ENSG00000106125","MINDY4",84182,"ENSBTAG00000009390","MINDY4",615509
"ENSSSCG00000033514","CRHR2",100240719,"ENSG00000106113","CRHR2",1395,"ENSBTAG00000014381","CRHR2",521831
"ENSSSCG00000020845","CDH9",100626823,"ENSG00000113100","CDH9",1007,"ENSBTAG00000018234","CDH9",541188
"ENSSSCG00000016802","CDH10",100523754,"ENSG00000040731","CDH10",1008,"ENSBTAG00000002845","CDH10",541259
"ENSSSCG00000016677","GARS1",100512260,"ENSG00000106105","GARS1",2617,"ENSBTAG00000018972","GARS1",408010
"ENSSSCG00000016679","GGCT",100512447,"ENSG00000006625","GGCT",79017,"ENSBTAG00000010597","GGCT",533374
"ENSSSCG00000031509","MTMR12",102167243,"ENSG00000150712","MTMR12",54545,"ENSBTAG00000012278","MTMR12",541159
"ENSSSCG00000027681","ZFR",100624470,"ENSG00000056097","ZFR",51663,"ENSBTAG00000008414","ZFR",538494
"ENSSSCG00000021418","LSS",100625138,"ENSG00000160285","LSS",4047,"ENSBTAG00000018936","LSS",615906
"ENSSSCG00000032650","SUB1",110257216,"ENSG00000113387","SUB1",10923,"ENSBTAG00000021965","SUB1",533984
"ENSSSCG00000032650","SUB1",100512195,"ENSG00000113387","SUB1",10923,"ENSBTAG00000021965","SUB1",533984
"ENSSSCG00000036201","NPR3",100626363,"ENSG00000113389","NPR3",4883,"ENSBTAG00000007665","NPR3",281358
"ENSSSCG00000016734","CCM2",100511907,"ENSG00000136280","CCM2",83605,"ENSBTAG00000008090","CCM2",506450
"ENSSSCG00000016817","TARS1",100526191,"ENSG00000113407","TARS1",6897,"ENSBTAG00000014261","TARS1",510075
"ENSSSCG00000016673","GHRHR",397100,"ENSG00000106128","GHRHR",2692,"ENSBTAG00000047599","GHRHR",281782
"ENSSSCG00000029847","SPATC1L",100625054,"ENSG00000160284","SPATC1L",84221,"ENSBTAG00000020409","SPATC1L",522100
"ENSSSCG00000027926","FTCD",397517,"ENSG00000160282","FTCD",10841,"ENSBTAG00000020404","FTCD",535816
"ENSSSCG00000062559","HOXA13",100359352,"ENSG00000106031","HOXA13",3209,"ENSBTAG00000014735","HOXA13",787194
"ENSSSCG00000028022","COL6A2",NA,"ENSG00000142173","COL6A2",1292,"ENSBTAG00000019269","COL6A2",282194
"ENSSSCG00000016691","JAZF1",100517019,"ENSG00000153814","JAZF1",221895,"ENSBTAG00000019024","JAZF1",616701
"ENSSSCG00000016692","TAX1BP1",100516165,"ENSG00000106052","TAX1BP1",8887,"ENSBTAG00000019020","TAX1BP1",535589
"ENSSSCG00000016823","C1QTNF3",100270814,"ENSG00000082196","C1QTNF3",114899,"ENSBTAG00000017071","C1QTNF3",531659
"ENSSSCG00000016824","RAI14",100145886,"ENSG00000039560","RAI14",26064,"ENSBTAG00000007071","RAI14",525869
"ENSSSCG00000016695","HIBADH",100516656,"ENSG00000106049","HIBADH",11112,"ENSBTAG00000001036","HIBADH",512002
"ENSSSCG00000035657","DIP2A",100621280,"ENSG00000160305","DIP2A",23181,"ENSBTAG00000011495","DIP2A",518043
"ENSSSCG00000016696","EVX1",100518282,"ENSG00000106038","EVX1",2128,"ENSBTAG00000020919","EVX1",540239
"ENSSSCG00000037116","ZNRF2",100514021,"ENSG00000180233","ZNRF2",223082,"ENSBTAG00000000260","ZNRF2",615645
"ENSSSCG00000016686","PRR15",100513831,"ENSG00000176532","PRR15",222171,"ENSBTAG00000045567","PRR15",538952
"ENSSSCG00000016687","CHN2",100514933,"ENSG00000106069","CHN2",1124,"ENSBTAG00000020931","CHN2",507285
"ENSSSCG00000026344","MCM3AP",100738659,"ENSG00000160294","MCM3AP",8888,"ENSBTAG00000003148","MCM3AP",534293
"ENSSSCG00000032797","RXFP3",100512567,"ENSG00000182631","RXFP3",51289,"ENSBTAG00000070379","RXFP3",539509
"ENSSSCG00000016688","CPVL",100515288,"ENSG00000106066","CPVL",54504,"ENSBTAG00000007146","CPVL",534518
"ENSSSCG00000016690","CREB5",100515635,"ENSG00000146592","CREB5",9586,"ENSBTAG00000018909","CREB5",534129
"ENSSSCG00000033266","C7orf57",110257549,"ENSG00000164746","C7orf57",136288,"ENSBTAG00000035064","C4H7orf57",614195
"ENSSSCG00000023801","LANCL2",100620078,"ENSG00000132434","LANCL2",55915,"ENSBTAG00000018026","LANCL2",541142
"ENSSSCG00000036285","NKX2-5",100521411,"ENSG00000183072","NKX2-5",1482,"ENSBTAG00000020568","NKX2-5",538870
"ENSSSCG00000039677","CHRNA4",110257409,"ENSG00000101204","CHRNA4",1137,"ENSBTAG00000017198","CHRNA4",537251
"ENSSSCG00000017009","FOXI1",100511481,"ENSG00000168269","FOXI1",2299,"ENSBTAG00000014620","FOXI1",539442
"ENSSSCG00000016721","DBNL",100524413,"ENSG00000136279","DBNL",28988,"ENSBTAG00000017547","DBNL",514706
"ENSSSCG00000016997","FGF18",100525013,"ENSG00000156427","FGF18",8817,"ENSBTAG00000000128","FGF18",533929
"ENSSSCG00000016985","BNIP1",100521935,"ENSG00000113734","BNIP1",662,"ENSBTAG00000002021","BNIP1",614520
"ENSSSCG00000016986","CREBRF",100523409,"ENSG00000164463","CREBRF",153222,"ENSBTAG00000002020","CREBRF",513587
"ENSSSCG00000000959","LARGE1",100516442,"ENSG00000133424","LARGE1",9215,"ENSBTAG00000021953","LARGE1",506466
"ENSSSCG00000016722","UBE2D4",100524597,"ENSG00000078967","UBE2D4",51619,"ENSBTAG00000003997","UBE2D4",511801
"ENSSSCG00000032235","ARFGAP1",110257378,"ENSG00000101199","ARFGAP1",55738,"ENSBTAG00000004916","ARFGAP1",506471
"ENSSSCG00000040519","URGCP",100525140,"ENSG00000106608","URGCP",55665,"ENSBTAG00000009453","URGCP",504226
"ENSSSCG00000016988","ERGIC1",100523931,"ENSG00000113719","ERGIC1",57222,"ENSBTAG00000015955","ERGIC1",616293
"ENSSSCG00000016991","DUSP1",100522469,"ENSG00000120129","DUSP1",1843,"ENSBTAG00000013863","DUSP1",539175
"ENSSSCG00000039419","SLCO4A1",110257486,"ENSG00000101187","SLCO4A1",28231,"ENSBTAG00000016388","SLCO4A1",507969
"ENSSSCG00000016725","TNS3",100524966,"ENSG00000136205","TNS3",64759,"ENSBTAG00000009655","TNS3",516555
"ENSSSCG00000016992","NEURL1B",100522651,"ENSG00000214357","NEURL1B",54492,"ENSBTAG00000001429","NEURL1B",510912
"ENSSSCG00000027378","SH3PXD2B",100524286,"ENSG00000174705","SH3PXD2B",285590,"ENSBTAG00000009019","SH3PXD2B",518356
"ENSSSCG00000031746","KCNQ2",110257402,"ENSG00000075043","KCNQ2",3785,"ENSBTAG00000003030","KCNQ2",505963
"ENSSSCG00000025780","HMGXB4",100621900,"ENSG00000100281","HMGXB4",10042,"ENSBTAG00000010533","HMGXB4",505539
"ENSSSCG00000038943","TOM1",100624208,"ENSG00000100284","TOM1",10043,"ENSBTAG00000045785","TOM1",504912
"ENSSSCG00000023948","UBTD2",100621592,"ENSG00000168246","UBTD2",92181,"ENSBTAG00000034659","UBTD2",541134
"ENSSSCG00000016995","EFCAB9",100523031,"ENSG00000214360","EFCAB9",285588,"ENSBTAG00000008876","EFCAB9",618333
"ENSSSCG00000039745","HMOX1",445512,"ENSG00000100292","HMOX1",3162,"ENSBTAG00000015582","HMOX1",513221
"ENSSSCG00000022478","STK10",100524465,"ENSG00000072786","STK10",6793,"ENSBTAG00000017457","STK10",526376
"ENSSSCG00000034173","GID8",100625042,"ENSG00000101193","GID8",54994,"ENSBTAG00000001827","GID8",505570
"ENSSSCG00000022823","MCM5",100624915,"ENSG00000100297","MCM5",4174,"ENSBTAG00000015595","MCM5",506970
"ENSSSCG00000023307","FBXW11",100523218,"ENSG00000072803","FBXW11",23291,"ENSBTAG00000015376","FBXW11",540642
"ENSSSCG00000021250","FKBP9",100623924,"ENSG00000122642","FKBP9",11328,"ENSBTAG00000016707","FKBP9",534182
"ENSSSCG00000040931","SLC17A9",110257489,"ENSG00000101194","SLC17A9",63910,"ENSBTAG00000001829","SLC17A9",518062
"ENSSSCG00000040086","YTHDF1",110257488,"ENSG00000149658","YTHDF1",54915,"ENSBTAG00000010383","YTHDF1",538525
"ENSSSCG00000022464","KBTBD2",100624023,"ENSG00000170852","KBTBD2",25948,"ENSBTAG00000003115","KBTBD2",514920
"ENSSSCG00000038278","NTSR1",110257490,"ENSG00000101188","NTSR1",4923,"ENSBTAG00000021727","NTSR1",528416
"ENSSSCG00000023445","AVL9",100624970,"ENSG00000105778","AVL9",23080,"ENSBTAG00000003114","AVL9",534141
"ENSSSCG00000038578","HRH3",110257480,"ENSG00000101180","HRH3",11255,"ENSBTAG00000031625","HRH3",789851
"ENSSSCG00000038718","ADRM1",110257483,"ENSG00000130706","ADRM1",11047,"ENSBTAG00000003058","ADRM1",519729
"ENSSSCG00000026064","LSM5",100624767,"ENSG00000106355","LSM5",23658,"ENSBTAG00000002332","LSM5",615136
"ENSSSCG00000017022","HMMR",100515063,"ENSG00000072571","HMMR",3161,"ENSBTAG00000014773","HMMR",281227
"ENSSSCG00000016668","PDE1C",102161696,"ENSG00000154678","PDE1C",5137,"ENSBTAG00000002739","PDE1C",526211
"ENSSSCG00000032761","LAMA5",110257482,"ENSG00000130702","LAMA5",3911,"ENSBTAG00000003061","LAMA5",506751
"ENSSSCG00000032806","NUDCD2",100515244,"ENSG00000170584","NUDCD2",134492,"ENSBTAG00000061380","NUDCD2",532693
"ENSSSCG00000017024","CCNG1",595110,"ENSG00000113328","CCNG1",900,"ENSBTAG00000006607","CCNG1",281671
"ENSSSCG00000016999","TLX3",100525967,"ENSG00000164438","TLX3",30012,"ENSBTAG00000010003","TLX3",618473
"ENSSSCG00000039501","NEUROD6",110257619,"ENSG00000164600","NEUROD6",63974,"ENSBTAG00000000558","NEUROD6",540464
"ENSSSCG00000017000","RANBP17",100526145,"ENSG00000204764","RANBP17",64901,"ENSBTAG00000024801","RANBP17",100337114
"ENSSSCG00000016672","ADCYAP1R1",100511793,"ENSG00000078549","ADCYAP1R1",117,"ENSBTAG00000020247","ADCYAP1R1",319095
"ENSSSCG00000021902","GABRP",100525792,"ENSG00000094755","GABRP",2568,"ENSBTAG00000002779","GABRP",517459
"ENSSSCG00000021825","RPS21",100518848,"ENSG00000171858","RPS21",6227,"ENSBTAG00000070257","RPS21",615178
"ENSSSCG00000021825","RPS21",100037996,"ENSG00000171858","RPS21",6227,"ENSBTAG00000070257","RPS21",615178
"ENSSSCG00000017003","KCNIP1",595102,"ENSG00000182132","KCNIP1",30820,"ENSBTAG00000002865","KCNIP1",541458
"ENSSSCG00000016698","HOXA11",100521236,"ENSG00000005073","HOXA11",3207,"ENSBTAG00000014738","HOXA11",100336578
"ENSSSCG00000007540","CABLES2",100156916,"ENSG00000149679","CABLES2",81928,"ENSBTAG00000020797","CABLES2",529805
"ENSSSCG00000021204","HOXA10",100620451,"ENSG00000253293","HOXA10",3206,"ENSBTAG00000040082","HOXA10",784386
"ENSSSCG00000007539","RBBP8NL",100524409,"ENSG00000130701","RBBP8NL",140893,"ENSBTAG00000003163","RBBP8NL",515877
"ENSSSCG00000028997","HOXA9",100519066,"ENSG00000078399","HOXA9",3205,"ENSBTAG00000053595","HOXA9",510459
"ENSSSCG00000017005","KCNMB1",100271876,"ENSG00000145936","KCNMB1",3779,"ENSBTAG00000002985","KCNMB1",407176
"ENSSSCG00000016701","HOXA7",100519456,"ENSG00000122592","HOXA7",3204,"ENSBTAG00000001455","HOXA7",615851
"ENSSSCG00000017006","LCP2",100511843,"ENSG00000043462","LCP2",3937,"ENSBTAG00000009381","LCP2",513244
"ENSSSCG00000016703","HOXA5",100499568,"ENSG00000106004","HOXA5",3202,"ENSBTAG00000012211","HOXA5",768039
"ENSSSCG00000016705","HOXA3",100519809,"ENSG00000105997","HOXA3",3200,"ENSBTAG00000008139","HOXA3",509991
"ENSSSCG00000051265","C5orf58",NA,"ENSG00000234511","C5orf58",133874,"ENSBTAG00000063384","C5orf58",101904507
"ENSSSCG00000017008","DOCK2",100512021,"ENSG00000134516","DOCK2",1794,"ENSBTAG00000014612","DOCK2",510083
"ENSSSCG00000016706","HOXA2",100519993,"ENSG00000105996","HOXA2",3199,"ENSBTAG00000008138","HOXA2",524150
"ENSSSCG00000016707","HOXA1",100520162,"ENSG00000105991","HOXA1",3198,"ENSBTAG00000013263","HOXA1",537889
"ENSSSCG00000016708","SKAP2",100625903,"ENSG00000005020","SKAP2",8935,"ENSBTAG00000005650","SKAP2",616545
"ENSSSCG00000053677","MRGBP",100627586,"ENSG00000101189","MRGBP",55257,"ENSBTAG00000031716","MRGBP",616297
"ENSSSCG00000037598","SNX10",100520876,"ENSG00000086300","SNX10",29887,"ENSBTAG00000001822","SNX10",508836
"ENSSSCG00000036835","OSBPL2",110257481,"ENSG00000130703","OSBPL2",9885,"ENSBTAG00000017402","OSBPL2",505328
"ENSSSCG00000016711","CBX3",100622432,"ENSG00000122565","CBX3",11335,"ENSBTAG00000049437","CBX3",539788
"ENSSSCG00000036350","HNRNPA2B1",100521762,"ENSG00000122566","HNRNPA2B1",3181,"ENSBTAG00000005726","HNRNPA2B1",507564
"ENSSSCG00000026052","LSM14B",100626826,"ENSG00000149657","LSM14B",149986,"ENSBTAG00000021558","LSM14B",529294
"ENSSSCG00000017010","INSYN2B",100511664,"ENSG00000204767","INSYN2B",100131897,"ENSBTAG00000002134","INSYN2B",100335985
"ENSSSCG00000025965","SPDL1",100510938,"ENSG00000040275","SPDL1",54908,"ENSBTAG00000008180","SPDL1",515158
"ENSSSCG00000026894","NFE2L3",100622324,"ENSG00000050344","NFE2L3",9603,"ENSBTAG00000004136","NFE2L3",510807
"ENSSSCG00000033332","PSMA7",100626738,"ENSG00000101182","PSMA7",5688,"ENSBTAG00000005127","PSMA7",505050
"ENSSSCG00000036611","NPVF",100302024,"ENSG00000105954","NPVF",64111,"ENSBTAG00000019447","NPVF",281451
"ENSSSCG00000033313","SPMIP4",100622673,"ENSG00000153790","SPMIP4",136895,"ENSBTAG00000019445","SPMIP4",617131
"ENSSSCG00000035448","SS18L1",100626561,"ENSG00000184402","SS18L1",26039,"ENSBTAG00000014438","SS18L1",768207
"ENSSSCG00000037369","MTG2",110257479,"ENSG00000101181","MTG2",26164,"ENSBTAG00000014442","MTG2",508880
"ENSSSCG00000016715","OSBPL3",100523342,"ENSG00000070882","OSBPL3",26031,"ENSBTAG00000019342","OSBPL3",537304
"ENSSSCG00000017015","RARS1",414410,"ENSG00000113643","RARS1",5917,"ENSBTAG00000014626","RARS1",506305
"ENSSSCG00000038631","TCFL5",100620700,"ENSG00000101190","TCFL5",10732,"ENSBTAG00000046520","TCFL5",513750
"ENSSSCG00000032880","OR4K13",110258851,"ENSG00000176253","OR4K13",390433,"ENSBTAG00000073420","OR4K13",513582
"ENSSSCG00000032880","OR4K13",100157508,"ENSG00000176253","OR4K13",390433,"ENSBTAG00000073420","OR4K13",513582
"ENSSSCG00000016716","GSDME",100522585,"ENSG00000105928","GSDME",1687,"ENSBTAG00000015326","GSDME",616398
"ENSSSCG00000024694","TAF4",100626452,"ENSG00000130699","TAF4",6874,"ENSBTAG00000047991","TAF4",789854
"ENSSSCG00000016717","PALS2",100523707,"ENSG00000105926","PALS2",51678,"ENSBTAG00000015303","PALS2",535171
"ENSSSCG00000035456","WWC1",100513827,"ENSG00000113645","WWC1",23286,"ENSBTAG00000013880","WWC1",520730
"ENSSSCG00000016718","NPY",397304,"ENSG00000122585","NPY",4852,"ENSBTAG00000004503","NPY",504216
"ENSSSCG00000017018","TENM2",100513121,"ENSG00000145934","TENM2",57451,"ENSBTAG00000025071","TENM2",100138541
"ENSSSCG00000040401","EEF1A2",110257403,"ENSG00000101210","EEF1A2",1917,"ENSBTAG00000021685","EEF1A2",515233
"ENSSSCG00000031474","PTK6",110257397,"ENSG00000101213","PTK6",5753,"ENSBTAG00000044091","PTK6",529814
"ENSSSCG00000036706","SRMS",110257399,"ENSG00000125508","SRMS",6725,"ENSBTAG00000001985","SRMS",521816
"ENSSSCG00000018277","MIR148A",NA,"ENSG00000199085","MIR148A",406940,"ENSBTAG00000029945","MIR148A",NA
"ENSSSCG00000040561","ssc-mir-196b-1",104796812,"ENSG00000283745","MIR196B",442920,"ENSBTAG00000029970","bta-mir-196b",100313452
"ENSSSCG00000040561","ssc-mir-196b-1",100498730,"ENSG00000283745","MIR196B",442920,"ENSBTAG00000029970","bta-mir-196b",100313452
"ENSSSCG00000039445","LRRC55",110258752,"ENSG00000183908","LRRC55",219527,"ENSBTAG00000004206","LRRC55",615203
"ENSSSCG00000016983","STC2",100126236,"ENSG00000113739","STC2",8614,"ENSBTAG00000001823","STC2",540573
"ENSSSCG00000040107","GMEB2",110257373,"ENSG00000101216","GMEB2",26205,"ENSBTAG00000014769","GMEB2",508301
"ENSSSCG00000035077","INHBA",397093,"ENSG00000122641","INHBA",3624,"ENSBTAG00000056438","INHBA",281867
"ENSSSCG00000038405","STMN3",110257413,"ENSG00000197457","STMN3",50861,"ENSBTAG00000038974","STMN3",511110
"ENSSSCG00000016750","YKT6",100513964,"ENSG00000106636","YKT6",10652,"ENSBTAG00000000274","YKT6",507409
"ENSSSCG00000038869","APLNR",110258749,"ENSG00000134817","APLNR",187,"ENSBTAG00000027516","APLNR",615435
"ENSSSCG00000039160","RTEL1",100625428,"ENSG00000258366","RTEL1",51750,"ENSBTAG00000021096","RTEL1",505721
"ENSSSCG00000016751","GCK",100514437,"ENSG00000106633","GCK",2645,"ENSBTAG00000032288","GCK",616576
"ENSSSCG00000016751","GCK",100514142,"ENSG00000106633","GCK",2645,"ENSBTAG00000032288","GCK",616576
"ENSSSCG00000030598","OR12D3",100156546,"ENSG00000112462","OR12D3",81797,"ENSBTAG00000073071","OR12D3",540205
"ENSSSCG00000036595","ZGPAT",100625315,"ENSG00000197114","ZGPAT",84619,"ENSBTAG00000007498","ZGPAT",789154
"ENSSSCG00000036595","ZGPAT",100625315,"ENSG00000197114","ZGPAT",84619,"ENSBTAG00000007498","ZGPAT",510866
"ENSSSCG00000035304","ARFRP1",100625122,"ENSG00000101246","ARFRP1",10139,"ENSBTAG00000007497","ARFRP1",525394
"ENSSSCG00000016747","NUDCD3",100513575,"ENSG00000015676","NUDCD3",23386,"ENSBTAG00000006325","NUDCD3",533678
"ENSSSCG00000061743","LIME1",100625216,"ENSG00000203896","LIME1",54923,"ENSBTAG00000007501","LIME1",NA
"ENSSSCG00000037562","SLC2A4RG",654291,"ENSG00000125520","SLC2A4RG",56731,"ENSBTAG00000016664","SLC2A4RG",511523
"ENSSSCG00000040388","ZBTB46",110257361,"ENSG00000130584","ZBTB46",140685,"ENSBTAG00000016667","ZBTB46",507985
"ENSSSCG00000039535","CAMK2B",100516166,"ENSG00000058404","CAMK2B",816,"ENSBTAG00000012653","CAMK2B",525416
"ENSSSCG00000018996","ssc-mir-218b",100628338,"ENSG00000207739","MIR218-2",407001,"ENSBTAG00000029895","MIR218-2",NA
"ENSSSCG00000031602","DNAJC5",100621635,"ENSG00000101152","DNAJC5",80331,"ENSBTAG00000015796","DNAJC5",282216
"ENSSSCG00000016893","NDUFS4",100516161,"ENSG00000164258","NDUFS4",4724,"ENSBTAG00000003728","NDUFS4",327680
"ENSSSCG00000035939","UCKL1",110257383,"ENSG00000198276","UCKL1",54963,"ENSBTAG00000015798","UCKL1",534046
"ENSSSCG00000016892","FST",445002,"ENSG00000134363","FST",10468,"ENSBTAG00000003329","FST",327681
"ENSSSCG00000057381","DEPDC1B",100524052,"ENSG00000035499","DEPDC1B",55789,"ENSBTAG00000017026","DEPDC1B",540874
"ENSSSCG00000058618","ZNF512B",110257382,"ENSG00000196700","ZNF512B",57473,"ENSBTAG00000011646","ZNF512B",614014
"ENSSSCG00000035012","ELOVL7",100524592,"ENSG00000164181","ELOVL7",79993,"ENSBTAG00000007704","ELOVL7",614096
"ENSSSCG00000034186","SAMD10",110257385,"ENSG00000130590","SAMD10",140700,"ENSBTAG00000011655","SAMD10",540999
"ENSSSCG00000036443","HECW1",100737343,"ENSG00000002746","HECW1",23072,"ENSBTAG00000021216","HECW1",514243
"ENSSSCG00000016934","ERCC8",100524405,"ENSG00000049167","ERCC8",1161,"ENSBTAG00000021606","ERCC8",518857
"ENSSSCG00000029119","PRPF6",100624623,"ENSG00000101161","PRPF6",24148,"ENSBTAG00000011656","PRPF6",534228
"ENSSSCG00000053180","NDUFAF2",100738470,"ENSG00000164182","NDUFAF2",91942,"ENSBTAG00000021607","NDUFAF2",767961
"ENSSSCG00000025194","ZSWIM6",100620165,"ENSG00000130449","ZSWIM6",57688,"ENSBTAG00000021224","ZSWIM6",538841
"ENSSSCG00000016883","ISL1",100511417,"ENSG00000016082","ISL1",3670,"ENSBTAG00000001241","ISL1",614040
"ENSSSCG00000016760","C7orf25",100517984,"ENSG00000136197","C7orf25",79020,"ENSBTAG00000009472","C4H7orf25",538970
"ENSSSCG00000016753","POLD2",100514809,"ENSG00000106628","POLD2",5425,"ENSBTAG00000012241","POLD2",281991
"ENSSSCG00000055892","C20orf204",NA,"ENSG00000196421","C20orf204",284739,"ENSBTAG00000057234","C20orf204",NA
"ENSSSCG00000036804","TCEA2",110257384,"ENSG00000171703","TCEA2",6919,"ENSBTAG00000021836","TCEA2",507729
"ENSSSCG00000016754","AEBP1",733628,"ENSG00000106624","AEBP1",165,"ENSBTAG00000012237","AEBP1",317693
"ENSSSCG00000016885","ITGA1",100512142,"ENSG00000213949","ITGA1",3672,"ENSBTAG00000016525","ITGA1",535951
"ENSSSCG00000037865","SOX18",100049667,"ENSG00000203883","SOX18",54345,"ENSBTAG00000011662","SOX18",519439
"ENSSSCG00000036444","TEX22",110258340,"ENSG00000226174","TEX22",647310,"ENSBTAG00000072449","TEX22",100299645
"ENSSSCG00000034841","RGS19",106508703,"ENSG00000171700","RGS19",10287,"ENSBTAG00000021837","RGS19",539036
"ENSSSCG00000037334","ADSS1",100048943,"ENSG00000185100","ADSS1",122622,"ENSBTAG00000017616","ADSS1",784089
"ENSSSCG00000033548","LKAAEAR1",110257386,"ENSG00000171695","LKAAEAR1",198437,"ENSBTAG00000021423","LKAAEAR1",613917
"ENSSSCG00000002554","PLD4",100524095,"ENSG00000166428","PLD4",122618,"ENSBTAG00000015160","PLD4",789315
"ENSSSCG00000031228","OPRL1",NA,"ENSG00000125510","OPRL1",4987,"ENSBTAG00000049473","OPRL1",100296381
"ENSSSCG00000007538","GATA5",100158102,"ENSG00000130700","GATA5",140628,"ENSBTAG00000047944","GATA5",504784
"ENSSSCG00000016884","PELO",100511788,"ENSG00000152684","PELO",53918,"ENSBTAG00000071273","PELO",528728
"ENSSSCG00000054477","BHLHE23",110257491,"ENSG00000125533","BHLHE23",128408,"ENSBTAG00000010873","BHLHE23",539207
"ENSSSCG00000016887","ITGA2",397483,"ENSG00000164171","ITGA2",3673,"ENSBTAG00000019289","ITGA2",281872
"ENSSSCG00000023820","ZMIZ2",100739821,"ENSG00000122515","ZMIZ2",83637,"ENSBTAG00000011997","ZMIZ2",537266
"ENSSSCG00000037868","NPBWR2",110257396,"ENSG00000125522","NPBWR2",2832,"ENSBTAG00000047704","NPBWR2",281208
"ENSSSCG00000038651","FNDC11",110257372,"ENSG00000125531","FNDC11",79025,"ENSBTAG00000027405","FNDC11",614565
"ENSSSCG00000035915","ABHD16B",110257456,"ENSG00000183260","ABHD16B",140701,"ENSBTAG00000031906","ABHD16B",514829
"ENSSSCG00000036176","OR5AP2",100518174,"ENSG00000172464","OR5AP2",338675,"ENSBTAG00000046187","OR5AP2",NA
"ENSSSCG00000016743","OGDH",100515636,"ENSG00000105953","OGDH",4967,"ENSBTAG00000006029","OGDH",132342072
"ENSSSCG00000006979","MSR1",100511665,"ENSG00000038945","MSR1",4481,"ENSBTAG00000002885","MSR1",281311
